Ecclesiastes 1:1	The words of the Preacher, the son of David, king in Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem.	The words of Ecclesiastes, the son of David, king of Jerusalem. 	The words of the Preacher, the son of David, king in Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem.	The words of the preacher, the son of David, king of Jerusalem.	The words of the Preacher, the son of David, king in Jerusalem:	Words of a preacher, son of David, king in Jerusalem:	The words of the Preacher, the son of David, king in Jerusalem.	
Ecclesiastes 3:15	That which hath been is now; and that which is to be hath already been; and God requireth that which is past.	That which is hath been long ago; and that which is to be hath long ago been: and God seeketh again that which is passed away.	That which hath been made, the same continueth: the things that shall be, have already been: and God restoreth that which is past. 	That which is was long ago, and that which is to be hath already been; and God bringeth back again that which is past.	That which is hath been already; and that which is to be hath already been: and God seeketh again that which is passed away.	That which hath been is now; and that which is to be hath already been; and God requireth that which is past.	That which is has been long ago, and that which is to be has been long ago: and God seeks again that which is passed away.	What is that which hath been? already it is, and that which is to be hath already been, and God requireth that which is pursued.	That which has been is now; and that which is to be has already been; and God requires that which is past.	
Ecclesiastes 3:16	And moreover I saw under the sun the place of judgment, <i>that</i> wickedness <i>was</i> there; and the place of righteousness, <i>that</i> iniquity <i>was</i> there.	And moreover I saw under the sun, in the place of justice, that wickedness was there; and in the place of righteousness, that wickedness was there.	I saw under the sun in the place of judgment wickedness, and in the place of justice iniquity. 	And moreover I saw under the sun, that in the place of judgment, wickedness was there; and in the place of righteousness, wickedness was there.	And moreover I saw under the sun, in the place of judgment, that wickedness was there; and in the place of righteousness, that wickedness was there.	And moreover I saw under the sun the place of judgment, that wickedness was there; and the place of righteousness, that iniquity was there.	Moreover I saw under the sun, in the place of justice, that wickedness was there; and in the place of righteousness, that wickedness was there.	And again, I have seen under the sun the place of judgment &#8212; there is the wicked; and the place of righteousness &#8212; there is the wicked.	And moreover I saw under the sun the place of judgment, that wickedness was there; and the place of righteousness, that iniquity was there.	
Ecclesiastes 3:17	I said in mine heart, God shall judge the righteous and the wicked: for <i>there is</i> a time there for every purpose and for every work.	I said in my heart, God will judge the righteous and the wicked; for there is a time there for every purpose and for every work.	And I said in my heart: God shall judge both the just and the wicked, and then shall be the time of every thing. 	I said in my heart, God will judge the righteous and the wicked; for there is a time there for every purpose and for every work.	I said in mine heart, God shall judge the righteous and the wicked: for there is a time there for every purpose and for every work.	I said in my heart, God will judge the righteous and the wicked: for there is a time there for every purpose and for every work.	I said in my heart, |God will judge the righteous and the wicked; for there is a time there for every purpose and for every work.|	I said in my heart, 'The righteous and the wicked doth God judge, for a time is to every matter and for every work there.'	I said in my heart, God shall judge the righteous and the wicked: for there is a time there for every purpose and for every work.	
Ecclesiastes 3:18	I said in mine heart concerning the estate of the sons of men, that God might manifest them, and that they might see that they themselves are beasts.	I said in my heart, It is because of the sons of men, that God may prove them, and that they may see that they themselves are but as beasts.	I said in my heart concerning the sons of men, that God would prove them, and shew them to be like beasts. 	I said in my heart, It is thus with the children of men, that God may prove them, and that they should see that they themselves are but beasts.	I said in mine heart, It is because of the sons of men, that God may prove them, and that they may see that they themselves are but as beasts.	I said in my heart concerning the state of the sons of men, that God might manifest them, and that they might see that they themselves are beasts.	I said in my heart, |As for the sons of men, God tests them, so that they may see that they themselves are like animals.	I said in my heart concerning the matter of the sons of man that God might cleanse them, so as to see that they themselves are beasts.	I said in my heart concerning the estate of the sons of men, that God might manifest them, and that they might see that they themselves are beasts.	
Ecclesiastes 3:19	For that which befalleth the sons of men befalleth beasts; even one thing befalleth them: as the one dieth, so dieth the other; yea, they have all one breath; so that a man hath no preeminence above a beast: for all <i>is</i> vanity.	For that which befalleth the sons of men befalleth beasts; even one thing befalleth them: as the one dieth, so dieth the other; yea, they have all one breath; and man hath no preeminence above the beasts: for all is vanity.	Therefore the death of man, and of beasts is one, and the condition of them both is equal: as man dieth, so they also die: all things breathe alike, and man hath nothing more than beast: all things are subject to vanity. 	For what befalleth the children of men befalleth beasts; even one thing befalleth them: as the one dieth, so dieth the other, and they have all one breath; and man hath no pre-eminence above the beast: for all is vanity.	For that which befalleth the sons of men befalleth beasts; even one thing befalleth them: as the one dieth, so dieth the other; yea, they have all one breath; and man hath no preeminence above the beasts: for all is vanity.	For that which befalleth the sons of men befalleth beasts; even one thing befalleth them: as the one dieth, so dieth the other; yes, they have all one breath; so that a man hath no pre-eminence above a beast: for all is vanity.	For that which happens to the sons of men happens to animals. Even one thing happens to them. As the one dies, so the other dies. Yes, they have all one breath; and man has no advantage over the animals: for all is vanity.	For an event is to the sons of man, and an event is to the beasts, even one event is to them; as the death of this, so is the death of that; and one spirit is to all, and the advantage of man above the beast is nothing, for the whole is vanity.	For that which befalls the sons of men befalls beasts; even one thing befalls them: as the one dies, so dies the other; yes, they have all one breath; so that a man has no preeminence above a beast: for all is vanity.	
Ecclesiastes 3:20	All go unto one place; all are of the dust, and all turn to dust again.	All go unto one place; all are of the dust, and all turn to dust again.	And all things go to one place: of earth they were made, and into earth they return together. 	All go unto one place: all are of the dust, and all return to dust.	All go unto one place; all are of the dust, and all turn to dust again.	All go to one place; all are of the dust, and all turn to dust again.	All go to one place. All are from the dust, and all turn to dust again.	The whole are going unto one place, the whole have been from the dust, and the whole are turning back unto the dust.	All go to one place; all are of the dust, and all turn to dust again.	
Ecclesiastes 3:21	Who knoweth the spirit of man that goeth upward, and the spirit of the beast that goeth downward to the earth?	Who knoweth the spirit of man, whether it goeth upward, and the spirit of the beast, whether it goeth downward to the earth?	Who knoweth if the spirit of the children of Adam ascend upward, and if the spirit of the beasts descend downward? 	Who knoweth the spirit of the children of men? Doth it go upwards? and the spirit of the beasts, doth it go downwards to the earth?	Who knoweth the spirit of man whether it goeth upward, and the spirit of the beast whether it goeth downward to the earth?	Who knoweth the spirit of man that goeth upward, and the spirit of the beast that goeth downward to the earth?	Who knows the spirit of man, whether it goes upward, and the spirit of the animal, whether it goes downward to the earth?|	Who knoweth the spirit of the sons of man that is going up on high, and the spirit of the beast that is going down below to the earth?	Who knows the spirit of man that goes upward, and the spirit of the beast that goes downward to the earth?	
Ecclesiastes 3:22	Wherefore I perceive that <i>there is</i> nothing better, than that a man should rejoice in his own works; for that <i>is</i> his portion: for who shall bring him to see what shall be after him?	Wherefore I saw that there is nothing better, than that a man should rejoice in his works; for that is his portion: for who shall bring him back to see what shall be after him?	And I have found that nothing is better than for a man to rejoice in his work, and that this is his portion. For who shall bring him to know the things that shall be after him? 	And I have seen that there is nothing better than that man should rejoice in his own works; for that is his portion; for who shall bring him to see what shall be after him?	Wherefore I saw that there is nothing better, than that a man should rejoice in his works; for that is his portion: for who shall bring him back to see what shall be after him?	Wherefore I perceive that there is nothing better, than that a man should rejoice in his own works; for that is his portion: for who shall bring him to see what shall be after him?	Therefore I saw that there is nothing better, than that a man should rejoice in his works; for that is his portion: for who can bring him to see what will be after him?	And I have seen that there is nothing better than that man rejoice in his works, for it is his portion; for who doth bring him in to look on that which is after him?	Why I perceive that there is nothing better, than that a man should rejoice in his own works; for that is his portion: for who shall bring him to see what shall be after him?	
Ecclesiastes 4:1	So I returned, and considered all the oppressions that are done under the sun: and behold the tears of <i>such as were</i> oppressed, and they had no comforter; and on the side of their oppressors <i>there was</i> power; but they had no comforter.	Then I returned and saw all the oppressions that are done under the sun: and, behold, the tears of such as were oppressed, and they had no comforter; and on the side of their oppressors there was power; but they had no comforter.	I turned myself to other things, and I saw the oppressions that are done under the sun, and the tears of the innocent, and they had no comforter; and they were not able to resist their violence, being destitute of help from any. 	And I returned and saw all the oppressions that are done under the sun: and behold, the tears of the oppressed, and they had no comforter; and on the side of their oppressors was power, and they had no comforter.	Then I returned and saw all the oppressions that are done under the sun: and behold, the tears of such as were oppressed, and they had no comforter; and on the side of their oppressors there was power, but they had no comforter.	So I returned, and considered all the oppressions that are done under the sun: and behold the tears of such as were oppressed, and they had no comforter; and on the side of their oppressors there was power; but they had no comforter.	Then I returned and saw all the oppressions that are done under the sun: and behold, the tears of those who were oppressed, and they had no comforter; and on the side of their oppressors there was power; but they had no comforter.	And I have turned, and I see all the oppressions that are done under the sun, and lo, the tear of the oppressed, and they have no comforter; and at the hand of their oppressors is power, and they have no comforter.	So I returned, and considered all the oppressions that are done under the sun: and behold the tears of such as were oppressed, and they had no comforter; and on the side of their oppressors there was power; but they had no comforter.	
Ecclesiastes 4:2	Wherefore I praised the dead which are already dead more than the living which are yet alive.	Wherefore I praised the dead that have been long dead more than the living that are yet alive;	And I praised the dead rather than the living: 	Then I praised the dead who are already dead more than the living who are yet alive;	Wherefore I praised the dead which are already dead more than the living which are yet alive;	Wherefore I praised the dead who are already dead more than the living who are yet alive.	Therefore I praised the dead who have been long dead more than the living who are yet alive.	And I am praising the dead who have already died above the living who are yet alive.	Why I praised the dead which are already dead more than the living which are yet alive.	
Ecclesiastes 4:3	Yea, better <i>is he</i> than both they, which hath not yet been, who hath not seen the evil work that is done under the sun.	yea, better than them both did I esteem him that hath not yet been, who hath not seen the evil work that is done under the sun.	And I judged him happier than them both, that is not yet born, nor hath seen the evils that are done under the sun. 	and more fortunate than both is he who hath not yet been, who hath not seen the evil work that is done under the sun.	yea, better than them both did I esteem him which hath not yet been, who hath not seen the evil work that is done under the sun.	Yes, better is he than both they, who hath not yet been, who hath not seen the evil work that is done under the sun.	Yes, better than them both is him who has not yet been, who has not seen the evil work that is done under the sun.	And better than both of them is he who hath not yet been, in that he hath not seen the evil work that hath been done under the sun.	Yes, better is he than both they, which has not yet been, who has not seen the evil work that is done under the sun.	
Ecclesiastes 4:4	Again, I considered all travail, and every right work, that for this a man is envied of his neighbour. This <i>is</i> also vanity and vexation of spirit.	Then I saw all labor and every skilful work, that for this a man is envied of his neighbor. This also is vanity and a striving after wind.	Again I considered all the labours of men, and I remarked that their industries are exposed to the envy of their neighhour: so in this also there is vanity, and fruitless care. 	And I saw all labour, and all success of work, that it is man's jealousy of his neighbour. This also is vanity and pursuit of the wind.	Then I saw all labour and every skilful work, that for this a man is envied of his neighbour. This also is vanity and a striving after wind.	Again, I considered all labor, and every right work, that for this a man is envied by his neighbor. This is also vanity and vexation of spirit.	Then I saw all the labor and achievement that is the envy of a man's neighbor. This also is vanity and a striving after wind.	And I have seen all the labour, and all the benefit of the work, because for it a man is the envy of his neighbour. Even this is vanity and vexation of spirit.	Again, I considered all travail, and every right work, that for this a man is envied of his neighbor. This is also vanity and vexation of spirit.	
Ecclesiastes 4:5	The fool foldeth his hands together, and eateth his own flesh.	The fool foldeth his hands together, and eateth his own flesh.	The fool foldeth his hands together, and eateth his own flesh, saying: 	The fool foldeth his hands together, and eateth his own flesh.	The fool foldeth his hands together, and eateth his own flesh.	The fool foldeth his hands together, and eateth his own flesh.	The fool folds his hands together and ruins himself.	The fool is clasping his hands, and eating his own flesh:	The fool folds his hands together, and eats his own flesh.	
Ecclesiastes 4:6	Better <i>is</i> an handful <i>with</i> quietness, than both the hands full <i>with</i> travail and vexation of spirit.	Better is a handful, with quietness, than two handfuls with labor and striving after wind.	Better is a handful with rest, than both hands full with labour, and vexation of mind. 	Better is a handful with quietness, than both hands full with labour and pursuit of the wind.	Better is an handful with quietness, than two handfuls with labour and striving after wind.	Better is a handful with quietness, than both the hands full with toil and vexation of spirit.	Better is a handful, with quietness, than two handfuls with labor and chasing after wind.	Better is a handful with quietness, than two handfuls with labour and vexation of spirit.'	Better is an handful with quietness, than both the hands full with travail and vexation of spirit.	
Ecclesiastes 4:7	Then I returned, and I saw vanity under the sun.	Then I returned and saw vanity under the sun.	Considering I found also another vanity under the sun: 	And I returned and saw vanity under the sun.	Then I returned and saw vanity under the sun.	Then I returned, and I saw vanity under the sun.	Then I returned and saw vanity under the sun.	And I have turned, and I see a vain thing under the sun:	Then I returned, and I saw vanity under the sun.	
Ecclesiastes 4:8	There is one <i>alone</i>, and <i>there is</i> not a second; yea, he hath neither child nor brother: yet <i>is there</i> no end of all his labour; neither is his eye satisfied with riches; neither <i>saith he</i>, For whom do I labour, and bereave my soul of good? This <i>is</i> also vanity, yea, it <i>is</i> a sore travail.	There is one that is alone, and he hath not a second; yea, he hath neither son nor brother; yet is there no end of all his labor, neither are his eyes satisfied with riches. For whom then,'saith he , do I labor, and deprive my soul of good? This also is vanity, yea, it is a sore travail.	There is but one, and he hath not a second, no child, no brother, and yet he ceaseth not to labour, neither are his eyes satisfied with riches, neither doth he reflect, saying: For whom do I labour, and defraud my soul of good things? in this also is vanity, and a grievous vexation. 	There is one alone and without a second; also he hath neither son nor brother: yet is there no end of all his labour, neither is his eye satisfied with riches, and he saith not, For whom then am I labouring, and depriving my soul of good? This also is vanity and a grievous occupation.	There is one that is alone, and he hath not a second; yea, he hath neither son nor brother; yet is there no end of all his labour, neither are his eyes satisfied with riches. For whom then, saith he, do I labour, and deprive my soul of good? This also is vanity, yea, it is a sore travail.	There is one alone, and there is not a second; yes, he hath neither child nor brother: yet is there no end of all his labor; neither is his eye satisfied with riches; neither saith he, For whom do I labor, and bereave my soul of good? This is also vanity, yes, it is a grievous labor.	There is one who is alone, and he has neither son nor brother. There is no end to all of his labor, neither are his eyes satisfied with wealth. |For whom then, do I labor, and deprive my soul of enjoyment?| This also is vanity. Yes, it is a miserable business.	There is one, and there is not a second; even son or brother he hath not, and there is no end to all his labour! His eye also is not satisfied with riches, and he saith not, 'For whom am I labouring and bereaving my soul of good?' This also is vanity, it is a sad travail.	There is one alone, and there is not a second; yes, he has neither child nor brother: yet is there no end of all his labor; neither is his eye satisfied with riches; neither said he, For whom do I labor, and bereave my soul of good? This is also vanity, yes, it is a sore travail.	
Ecclesiastes 4:9	Two <i>are</i> better than one; because they have a good reward for their labour.	Two are better than one, because they have a good reward for their labor.	It is better therefore that two should be together, than one: for they have the advantage of their society: 	Two are better than one; because they have a good reward for their labour.	Two are better than one; because they have a good reward for their labour.	Two are better than one; because they have a good reward for their labor.	Two are better than one, because they have a good reward for their labor.	The two are better than the one, in that they have a good reward by their labour.	Two are better than one; because they have a good reward for their labor.	
Ecclesiastes 4:10	For if they fall, the one will lift up his fellow: but woe to him <i>that is</i> alone when he falleth; for <i>he hath</i> not another to help him up.	For if they fall, the one will lift up his fellow; but woe to him that is alone when he falleth, and hath not another to lift him up.	If one fall he shall be supported by the other: woe to him that is alone, for when he falleth, he hath none to lift him up. 	For if they fall, the one will lift up his fellow; but woe to him that is alone when he falleth, and who hath not another to lift him up!	For if they fall, the one will lift up his fellow: but woe to him that is alone when he falleth, and hath not another to lift him up.	For if they fall, the one will lift up his fellow: but woe to him that is alone when he falleth; for he hath not another to help him to rise.	For if they fall, the one will lift up his fellow; but woe to him who is alone when he falls, and doesn't have another to lift him up.	For if they fall, the one raiseth up his companion, but woe to the one who falleth and there is not a second to raise him up!	For if they fall, the one will lift up his fellow: but woe to him that is alone when he falls; for he has not another to help him up.	
Ecclesiastes 4:11	Again, if two lie together, then they have heat: but how can one be warm <i>alone</i>?	Again, if two lie together, then they have warmth; but how can one be warm alone ?	And if two lie together, they shall warm one another: how shall one alone be warmed? 	Again, if two lie together, then they have warmth; but how can one alone be warm?	Again, if two lie together, then they have warmth: but how can one be warm alone?	Again, if two lie together, then they have heat: but how can one be warm alone?	Again, if two lie together, then they have warmth; but how can one keep warm alone?	Also, if two lie down, then they have heat, but how hath one heat?	Again, if two lie together, then they have heat: but how can one be warm alone?	
Ecclesiastes 4:12	And if one prevail against him, two shall withstand him; and a threefold cord is not quickly broken.	And if a man prevail against him that is alone, two shall withstand him; and a threefold cord is not quickly broken.	And if a man prevail against one, two shall withstand him: a threefold cord is not easily broken. 	And if a man overpower the one, the two shall withstand him; and a threefold cord is not quickly broken.	And if a man prevail against him that is alone, two shall withstand him; and a threefold cord is not quickly broken.	And if one prevaileth against him, two shall withstand him; and a three-fold cord is not quickly broken.	If a man prevails against one who is alone, two shall withstand him; and a threefold cord is not quickly broken.	And if the one strengthen himself, the two stand against him; and the threefold cord is not hastily broken.	And if one prevail against him, two shall withstand him; and a threefold cord is not quickly broken.	
Ecclesiastes 4:13	Better <i>is</i> a poor and a wise child than an old and foolish king, who will no more be admonished.	Better is a poor and wise youth than an old and foolish king, who knoweth not how to receive admonition any more.	Better is a child that is poor and wise, than a king that is old and foolish, who knoweth not to foresee for hereafter. 	Better is a poor but wise youth than an old and foolish king, who knoweth no more how to be admonished.	Better is a poor and wise youth than an old and foolish king, who knoweth not how to receive admonition any more.	Better is a poor and a wise child, than an old and foolish king, who will no more be admonished.	Better is a poor and wise youth than an old and foolish king who doesn't know how to receive admonition any more.	Better is a poor and wise youth than an old and foolish king, who hath not known to be warned any more.	Better is a poor and a wise child than an old and foolish king, who will no more be admonished.	
Ecclesiastes 4:14	For out of prison he cometh to reign; whereas also <i>he that is</i> born in his kingdom becometh poor.	For out of prison he came forth to be king; yea, even in his kingdom he was born poor.	Because out of prison and chains sometimes a man cometh forth to a kingdom: and another born king is consumed with poverty. 	For out of the prison-house he came forth to reign, although he was born poor in his kingdom.	For out of prison he came forth to be king; yea, even in his kingdom he was born poor.	For out of prison he cometh to reign; whereas also he that is born in his kingdom becometh poor.	For out of prison he came forth to be king; yes, even in his kingdom he was born poor.	For from a house of prisoners he hath come out to reign, for even in his own kingdom he hath been poor.	For out of prison he comes to reign; whereas also he that is born in his kingdom becomes poor.	
Ecclesiastes 4:15	I considered all the living which walk under the sun, with the second child that shall stand up in his stead.	I saw all the living that walk under the sun, that they were with the youth, the second, that stood up in his stead.	I saw all men living, that walk under the sun with the second young man, who shall rise up in his place. 	I saw all the living that walk under the sun, with the child, the second, that should stand up in his stead.	I saw all the living which walk under the sun, that they were with the youth, the second, that stood up in his stead.	I considered all the living who walk under the sun, with the second child that shall stand up in his stead.	I saw all the living who walk under the sun, that they were with the youth, the other, who succeeded him.	I have seen all the living, who are walking under the sun, with the second youth who doth stand in his place;	I considered all the living which walk under the sun, with the second child that shall stand up in his stead.	
Ecclesiastes 4:16	<i>There is</i> no end of all the people, <i>even</i> of all that have been before them: they also that come after shall not rejoice in him. Surely this also <i>is</i> vanity and vexation of spirit.	There was no end of all the people, even of all them over whom he was: yet they that come after shall not rejoice in him. Surely this also is vanity and a striving after wind.	The number of the people, of all that were before him is infinite: and they that shall come afterwards, shall not rejoice in him: but this also is vanity, and vexation of spirit. 	There is no end of all the people, of all that stood before them; those however that come after shall not rejoice in him. Surely this also is vanity and a striving after the wind.	There was no end of all the people, even of all them over whom he was: yet they that come after shall not rejoice in him. Surely this also is vanity and a striving after wind.	There is no end of all the people, even of all that have been before them: they also that come after shall not rejoice in him. Surely this also is vanity and vexation of spirit.	There was no end of all the people, even of all them over whom he was&#8212;yet those who come after shall not rejoice in him. Surely this also is vanity and a chasing after wind.	there is no end to all the people, to all who were before them; also, the latter rejoice not in him. Surely this also is vanity and vexation of spirit.	There is no end of all the people, even of all that have been before them: they also that come after shall not rejoice in him. Surely this also is vanity and vexation of spirit.	
Ecclesiastes 5:1	Keep thy foot when thou goest to the house of God, and be more ready to hear, than to give the sacrifice of fools: for they consider not that they do evil.	Keep thy foot when thou goest to the house of God; for to draw nigh to hear is better than to give the sacrifice of fools: for they know not that they do evil.	Keep thy foot, when thou goest into the house of God, and draw nigh to hear. For much better is obedience, than the victims of fools, who know not what evil they do. 	Keep thy foot when thou goest to the house of God, and draw near to hear, rather than to give the sacrifice of fools: for they know not that they do evil.	Keep thy foot when thou goest to the house of God; for to draw nigh to hear is better than to give the sacrifice of fools: for they know not that they do evil.	Keep thy foot when thou goest to the house of God, and be more ready to hear, than to give the sacrifice of fools: for they consider not that they do evil.	Guard your steps when you go to God's house; for to draw near to listen is better than to give the sacrifice of fools, for they don't know that they do evil.	Keep thy feet when thou goest unto a house of God, and draw near to hear rather than to give of fools the sacrifice, for they do not know they do evil.	Keep your foot when you go to the house of God, and be more ready to hear, than to give the sacrifice of fools: for they consider not that they do evil.	
Ecclesiastes 5:2	Be not rash with thy mouth, and let not thine heart be hasty to utter <i>any</i> thing before God: for God <i>is</i> in heaven, and thou upon earth: therefore let thy words be few.	Be not rash with thy mouth, and let not thy heart be hasty to utter anything before God; for God is in heaven, and thou upon earth: therefore let thy words be few.	Speak not any thing rashly, and let not thy heart be hasty to utter a word before God. For God is in heaven, and thou upon earth: therefore let thy words be few. 	Be not rash with thy mouth, and let not thy heart be hasty to utter anything before God: for God is in the heavens, and thou upon earth; therefore let thy words be few.	Be not rash with thy mouth, and let not thine heart be hasty to utter any thing before God; for God is in heaven, and thou upon earth: therefore let thy words be few.	Be not rash with thy mouth, and let not thy heart be hasty to utter any thing before God: for God is in heaven, and thou upon earth: therefore let thy words be few.	Don't be rash with your mouth, and don't let your heart be hasty to utter anything before God; for God is in heaven, and you on earth. Therefore let your words be few.	Cause not thy mouth to hasten, and let not thy heart hasten to bring out a word before God, for God is in the heavens, and thou on the earth, therefore let thy words be few.	Be not rash with your mouth, and let not your heart be hasty to utter any thing before God: for God is in heaven, and you on earth: therefore let your words be few.	
Ecclesiastes 5:3	For a dream cometh through the multitude of business; and a fool's voice <i>is known</i> by multitude of words.	For a dream cometh with a multitude of business, and a fool's voice with a multitude of words.	Dreams follow many cares: and in many words shall be found folly. 	For a dream cometh through the multitude of business, and a fool's voice through a multitude of words.	For a dream cometh with a multitude of business; and a fool's voice with a multitude of words.	For a dream cometh through the multitude of business; and a fool's voice is known by a multitude of words.	For as a dream comes with a multitude of cares, so a fool's speech with a multitude of words.	For the dream hath come by abundance of business, and the voice of a fool by abundance of words.	For a dream comes through the multitude of business; and a fool's voice is known by multitude of words.	
Ecclesiastes 5:4	When thou vowest a vow unto God, defer not to pay it; for <i>he hath</i> no pleasure in fools: pay that which thou hast vowed.	When thou vowest a vow unto God, defer not to pay it; for he hath no pleasure in fools: pay that which thou vowest.	If thou hast vowed any thing to God, defer not to pay it: for an unfaithful and foolish promise displeaseth him: but whatsoever thou hast vowed, pay it. 	When thou vowest a vow unto God, defer not to pay it; for he hath no pleasure in fools: pay that which thou hast vowed.	When thou vowest a vow unto God, defer not to pay it; for he hath no pleasure in fools: pay that which thou vowest.	When thou vowest a vow to God, defer not to pay it; for he hath no pleasure in fools: pay that which thou hast vowed.	When you vow a vow to God, don't defer to pay it; for he has no pleasure in fools. Pay that which you vow.	When thou vowest a vow to God, delay not to complete it, for there is no pleasure in fools; that which thou vowest &#8212; complete.	When you vow a vow to God, defer not to pay it; for he has no pleasure in fools: pay that which you have vowed.	
Ecclesiastes 5:5	Better <i>is it</i> that thou shouldest not vow, than that thou shouldest vow and not pay.	Better is it that thou shouldest not vow, than that thou shouldest vow and not pay.	And it is much better not to vow, than after a vow not to perform the things promised. 	Better is it that thou shouldest not vow, than that thou shouldest vow and not pay.	Better is it that thou shouldest not vow, than that thou shouldest vow and not pay.	Better is it that thou shouldst not vow, than that thou shouldst vow and not pay.	It is better that you should not vow, than that you should vow and not pay.	Better that thou do not vow, than that thou dost vow and dost not complete.	Better is it that you should not vow, than that you should vow and not pay.	
Ecclesiastes 5:6	Suffer not thy mouth to cause thy flesh to sin; neither say thou before the angel, that it <i>was</i> an error: wherefore should God be angry at thy voice, and destroy the work of thine hands?	Suffer not thy mouth to cause thy flesh to sin; neither say thou before the angel, that is was an error: wherefore should God be angry at thy voice, and destroy the work of thy hands?	Give not thy mouth to cause thy flesh to sin: and say not before the angel: There is no providence: lest God be angry at thy words, and destroy all the works of thy hands. 	Suffer not thy mouth to cause thy flesh to sin; neither say thou before the angel, that it was an inadvertence. Wherefore should God be wroth at thy voice, and destroy the work of thy hands?	Suffer not thy mouth to cause thy flesh to sin; neither say thou before the angel, that it was an error: wherefore should God be angry at thy voice, and destroy the work of thine hands?	Suffer not thy mouth to cause thy flesh to sin; neither say thou before the angel, that it was an error: why should God be angry at thy voice, and destroy the work of thy hands?	Don't allow your mouth to lead you into sin. Don't protest before the messenger that this was a mistake. Why should God be angry at your voice, and destroy the work of your hands?	Suffer not thy mouth to cause thy flesh to sin, nor say before the messenger, that 'it is an error,' why is God wroth because of thy voice, and hath destroyed the work of thy hands?	Suffer not your mouth to cause your flesh to sin; neither say you before the angel, that it was an error: why should God be angry at your voice, and destroy the work of your hands?	
Ecclesiastes 5:7	For in the multitude of dreams and many words <i>there are</i> also <i>divers</i> vanities: but fear thou God.	For in the multitude of dreams there are vanities, and in many words: but fear thou God.	Where there are many dreams, there are many vanities, and words without number: but do thou fear God. 	For in the multitude of dreams are vanities; so with many words: but fear God.	For thus it cometh to pass through the multitude of dreams and vanities and many words: but fear thou God.	For in the multitude of dreams and many words there are also divers vanities: but fear thou God.	For in the multitude of dreams there are vanities, as well as in many words: but you must fear God.	For, in the abundance of dreams both vanities and words abound; but fear thou God.	For in the multitude of dreams and many words there are also divers vanities: but fear you God.	
Ecclesiastes 5:8	If thou seest the oppression of the poor, and violent perverting of judgment and justice in a province, marvel not at the matter: for <i>he that is</i> higher than the highest regardeth; and <i>there be</i> higher than they.	If thou seest the oppression of the poor, and the violent taking away of justice and righteousness in a province, marvel not at the matter: for one higher than the high regardeth; and there are higher than they.	If thou shalt see the oppressions of the poor, and violent judgments, and justice perverted in the province, wonder not at this matter: for he that is high hath another higher, and there are others still higher than these: 	If thou seest the oppression of the poor, and violent perverting of judgment and justice in a province, marvel not at the matter; for a higher than the high is watching, and there are higher than they.	If thou seest the oppression of the poor, and the violent taking away of judgment and justice in a province, marvel not at the matter: for one higher than the high regardeth; and there be higher than they.	If thou seest the oppression of the poor, and violent perversion of judgment and justice in a province, wonder not at the matter: for he that is higher than the highest regardeth; and there are higher than they.	If you see the oppression of the poor, and the violent taking away of justice and righteousness in a district, don't marvel at the matter: for one official is eyed by a higher one; and there are officials over them.	If oppression of the poor, and violent taking away of judgment and righteousness thou seest in a province, do not marvel at the matter, for a higher than the high is observing, and high ones are over them.	If you see the oppression of the poor, and violent perverting of judgment and justice in a province, marvel not at the matter: for he that is higher than the highest regards; and there be higher than they.	
Ecclesiastes 5:9	Moreover the profit of the earth is for all: the king <i>himself</i> is served by the field.	Moreover the profit of the earth is for all: the king himself is served by the field.	Moreover there is the king that reigneth over all the land subject to him. 	Moreover the earth is every way profitable: the king himself is dependent upon the field.	Moreover the profit of the earth is for all: the king himself is served by the field.	Moreover, the profit of the earth is for all: the king himself is served by the field.	Moreover the profit of the earth is for all. The king profits from the field.	And the abundance of a land is for all. A king for a field is served.	Moreover the profit of the earth is for all: the king himself is served by the field.	
Ecclesiastes 5:10	He that loveth silver shall not be satisfied with silver; nor he that loveth abundance with increase: this <i>is</i> also vanity.	He that loveth silver shall not be satisfied with silver; nor he that loveth abundance, with increase: this also is vanity.	A covetous man shall not be satisfied with money: and he that loveth riches shall reap no fruit from them: so this also is vanity. 	He that loveth silver shall not be satisfied with silver, nor he that loveth abundance with increase. This also is vanity.	He that loveth silver shall not be satisfied with silver; nor he that loveth abundance with increase: this also is vanity.	He that loveth silver shall not be satisfied with silver; nor he that loveth abundance with increase: this is also vanity.	He who loves silver shall not be satisfied with silver; nor he who loves abundance, with increase: this also is vanity.	Whoso is loving silver is not satisfied with silver, nor he who is in love with stores with increase. Even this is vanity.	He that loves silver shall not be satisfied with silver; nor he that loves abundance with increase: this is also vanity.	
